"","pmid","X","publication_year","last_author","is_open_data","open_data_category","is_open_code","open_data_statements","open_code_statements","coi_text","is_coi_pred","fund_text","is_fund_pred","register_text","is_register_pred"
"1",20034617,414,2010,0,FALSE,"",FALSE,"","","Drs. Browning, Holmes, and Murphy report no biomedical financial interests or potential conflicts of interest. Professor Goodwin has received compensation from AstraZeneca, Bristol-Myers Squibb, Eisai, Eli Lilly, Lundbeck, P1Vital, Sanofi-Aventis, Servier, and Wyeth and holds shares in P1Vital. Dr. Harmer is on the advisory board of P1Vital and has received compensation from GlaxoSmithKline, Servier, Merck, Sharp and Dohme, and Lundbeck. She also holds shares in P1Vital.",TRUE,"MB is supported by a Clinical Training Fellowship from the Wellcome Trust (WT081672MA), which funded this study. EAH is supported by a Royal Society Dorothy Hodgkin Fellowship and the Economic and Social Research Council (RES-061-23-0030). CJH is supported by the Medical Research Council (G0301005).",TRUE,"",FALSE
"2",20532199,413,2010,0,FALSE,"",FALSE,"","","The authors have declared that no competing interests exist.",TRUE,"This work was partly supported by grants from the Swedish Science Council (Vetenskapsrådet, VR-621-2004-3807), VINNOVA (Swedish Governmental Agency for Innovation Systems), the Swedish Foundation for Strategic Research (through the Stockholm Brain Institute), and from the European Union (FACETS project, FP6-2004-IST-FETPI-015879). AC acknowledges support from the Instituto de Salud Carlos III, Spain, and from the Researcher Stabilization Program of the Health Department of the Generalitat de Catalunya. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",TRUE,"",FALSE
"3",20598127,412,2010,0,FALSE,"",FALSE,"","","Competing interests The authors declare that they have no competing interests.",TRUE,"The Stockholm County Council sponsored this study. We thank Monica Hellberg and Erik Hedman for substantially contributing to the realisation of the study.",TRUE,"Trial registration ClinicalTrials.gov NCT00845260",TRUE
"4",21085661,411,2010,0,FALSE,"",FALSE,"","","Competing Interests: The authors have declared that no competing interests exist.",TRUE,"Funding:  Emily A. Holmes has received fellowship funding from the Royal Society and the Wellcome Trust. Ella L. James was supported by a Wellcome Trust Vacation Scholarship and a Colt Foundation Fellowship. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",TRUE,"",FALSE
"5",21127102,410,2010,0,FALSE,"",FALSE,"","","Competing interests: None.",TRUE,"Funding: [ pi ]The study was funded by a grant from the  Wales Office of Research and Development for Health and Social Care, part of the Wales Assembly Government  (reference: ReF06/2/ 220). All researchers involved in this study were independent of the funding organisation. The funding organisation had no involvement in the conduct or reporting of this research.",TRUE,"",FALSE
"6",21156746,408,2010,1,TRUE,"data availability statement",FALSE,"data sharing: statistical code and dataset of ratings are available from the corresponding author at john axelsson@ki se . cite this as: bmj 2010;341:c6614","","Competing interests: All authors have completed the Unified Competing Interest form at www.icmje.org/coi_disclosure.pdf (available on request from the corresponding author) and declare: no support from any company for the submitted work; no financial relationships with any companies that might have an interest in the submitted work in the previous 3 years; no other relationships or activities that could appear to have influenced the submitted work.",TRUE,"We thank B Karshikoff for support with data acquisition and M Ingvar for comments on an earlier draft of the manuscript, both without compensation and working at the Department for Clinical Neuroscience, Karolinska Institutet, Sweden.Contributors: JA designed the data collection, supervised and monitored data collection, wrote the statistical analysis plan, carried out the statistical analyses, obtained funding, drafted and revised the manuscript, and is guarantor. TS designed and carried out the data collection, cleaned the data, drafted, revised the manuscript, and had final approval of the manuscript. JA and TS contributed equally to the work. MI wrote the statistical analysis plan, carried out the statistical analyses, drafted the manuscript, and critically revised the manuscript. EJWVS provided statistical advice, advised on data handling, and critically revised the manuscript. AO provided advice on the methods and critically revised the manuscript. ML provided administrative support, drafted the manuscript, and critically revised the manuscript. All authors approved the final version of the manuscript.Funding: This study was funded by the Swedish Society for Medical Research, Rut and Arvid Wolff’s Memory Fund, and the Osher Center for Integrative Medicine.Competing interests: All authors have completed the Unified Competing Interest form at www.icmje.org/coi_disclosure.pdf (available on request from the corresponding author) and declare: no support from any company for the submitted work; no financial relationships with any companies that might have an interest in the submitted work in the previous 3 years; no other relationships or activities that could appear to have influenced the submitted work.Ethical approval: This study was approved by the Karolinska Institutet’s ethical committee. Participants were compensated for their participation.Participant consent: Participant’s consent obtained.Data sharing: Statistical code and dataset of ratings are available from the corresponding author at john.axelsson@ki.se. Funding: This study was funded by the Swedish Society for Medical Research, Rut and Arvid Wolff’s Memory Fund, and the Osher Center for Integrative Medicine. Competing interests: All authors have completed the Unified Competing Interest form at www.icmje.org/coi_disclosure.pdf (available on request from the corresponding author) and declare: no support from any company for the submitted work; no financial relationships with any companies that might have an interest in the submitted work in the previous 3 years; no other relationships or activities that could appear to have influenced the submitted work.",TRUE,"",FALSE
"7",21170381,409,2010,1,FALSE,"",FALSE,"","","Competing Interests: The authors declare and confirm that the commercial funder AFA insurance did not alter their adherence to any of the PLoS ONE policies on sharing data and materials.",TRUE,"Funding:  The LANE study has been made possible by funding from the insurance company AFA (Arbetsmarknadens Försäkringsaktiebolag). DH is supported by a grant from FAS (Swedish Council for Working Life and Social Research) Centre for Research on Hearing Problems in Working Life and Tysta Skolan. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",TRUE,"",FALSE
"8",21208425,405,2011,0,FALSE,"",FALSE,"","","Competing interests The authors declare that they have no competing interests.",TRUE,"This project was made possible by the support of the Canadian Institutes of Health Research (CIHR) Knowledge Translation Synthesis Program (KRS 86255). JES holds CIHR Postdoctoral and Bisby Fellowships; at the time of this research she held Killam, CIHR and Alberta Heritage Foundation for Medical Research (AHFMR) doctoral fellowships. CAE holds a CIHR Canada Research Chair in Knowledge Translation. PG holds a grant from AFA Insurance and LW is supported by the Center for Care Sciences at Karolinska Institutet. All authors participated in designing the study, securing funding for the project, and developing the search strategy. JES undertook the article selection; data extraction and quality assessment; and drafted the manuscript. CAE, PG, and LW provided valuable advice throughout the study. All authors provided critical commentary on the manuscript and approved the final version.",TRUE,"",FALSE
"9",21383847,404,2011,0,FALSE,"",FALSE,"","","Competing Interests: The authors have declared that no competing interests exist.",TRUE,"Funding:  This study was funded by the European Research Council (erc.europa.eu), The Swedish Foundation for Strategic Research ( www.stratresearch.se/en ), The Human Frontier Science Program ( www.hfsp.org ), and Stockholm Brain Institute ( www.stockholmbrain.se ). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",TRUE,"",FALSE
"10",21416451,395,2011,1,FALSE,"",FALSE,"","","",FALSE,"This research was funded by Microsoft Research Cambridge, a Wellcome Trust Clinical Fellowship awarded to Emily A. Holmes (088217), and the UK Medical Research Council under project code A060_0022 (Philip Barnard). We would like to thank Leah Campbell for help with designing the tasks.",TRUE,"",FALSE
