,pmid,Authors,Title,last_author,publication_year,is_open_data,open_data_statements,is_open_code,open_code_statements,is_register_pred,register_text,is_coi_pred,coi_text,is_fund_pred,fund_text
0,20034617,"Browning M, Holmes EA, Murphy SE, Goodwin GM, Harmer CJ.",Lateral prefrontal cortex mediates the cognitive modification of attentional bias,0,2010,False,,False,,False,,True,"Drs. Browning, Holmes, and Murphy report no biomedical financial interests or potential conflicts of interest. Professor Goodwin has received compensation from AstraZeneca, Bristol-Myers Squibb, Eisai, Eli Lilly, Lundbeck, P1Vital, Sanofi-Aventis, Servier, and Wyeth and holds shares in P1Vital. Dr. Harmer is on the advisory board of P1Vital and has received compensation from GlaxoSmithKline, Servier, Merck, Sharp and Dohme, and Lundbeck. She also holds shares in P1Vital.",True,"MB is supported by a Clinical Training Fellowship from the Wellcome Trust (WT081672MA), which funded this study. EAH is supported by a Royal Society Dorothy Hodgkin Fellowship and the Economic and Social Research Council (RES-061-23-0030). CJH is supported by the Medical Research Council (G0301005)."
1,20532199,"Lundqvist M, Compte A, Lansner A.","Bistable, irregular firing and population oscillations in a modular attractor memory network",0,2010,False,,False,,False,,True,The authors have declared that no competing interests exist.,True,"This work was partly supported by grants from the Swedish Science Council (Vetenskapsrådet, VR-621-2004-3807), VINNOVA (Swedish Governmental Agency for Innovation Systems), the Swedish Foundation for Strategic Research (through the Stockholm Brain Institute), and from the European Union (FACETS project, FP6-2004-IST-FETPI-015879). AC acknowledges support from the Instituto de Salud Carlos III, Spain, and from the Researcher Stabilization Program of the Health Department of the Generalitat de Catalunya. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
2,20598127,"Bergström J, Andersson G, Ljótsson B, Rück C, Andréewitch S, Karlsson A, Carlbring P, Andersson E, Lindefors N.",Internet-versus group-administered cognitive behaviour therapy for panic disorder in a psychiatric setting: a randomised trial,0,2010,False,,False,,True,Trial registration ClinicalTrials.gov NCT00845260,True,Competing interests The authors declare that they have no competing interests.,True,The Stockholm County Council sponsored this study. We thank Monica Hellberg and Erik Hedman for substantially contributing to the realisation of the study.
3,21085661,"Holmes EA, James EL, Kilford EJ, Deeprose C.",Key steps in developing a cognitive vaccine against traumatic flashbacks: visuospatial Tetris versus verbal Pub Quiz,0,2010,False,,False,,False,,True,Competing Interests: The authors have declared that no competing interests exist.,True,"Funding:  Emily A. Holmes has received fellowship funding from the Royal Society and the Wellcome Trust. Ella L. James was supported by a Wellcome Trust Vacation Scholarship and a Colt Foundation Fellowship. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
4,21170381,"Hasson D, Gustavsson P.",Declining sleep quality among nurses: a population-based four-year longitudinal study on the transition from nursing education to working life,1,2010,False,,False,,False,,True,Competing Interests: The authors declare and confirm that the commercial funder AFA insurance did not alter their adherence to any of the PLoS ONE policies on sharing data and materials.,True,"Funding:  The LANE study has been made possible by funding from the insurance company AFA (Arbetsmarknadens Försäkringsaktiebolag). DH is supported by a grant from FAS (Swedish Council for Working Life and Social Research) Centre for Research on Hearing Problems in Working Life and Tysta Skolan. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
5,21156746,"Axelsson J, Sundelin T, Ingre M, Van Someren EJ, Olsson A, Lekander M.",Beauty sleep: experimental study on the perceived health and attractiveness of sleep deprived people,1,2010,True,data sharing: statistical code and dataset of ratings are available from the corresponding author at john axelsson@ki se . cite this as: bmj 2010;341:c6614,False,,False,,True,Competing interests: All authors have completed the Unified Competing Interest form at www.icmje.org/coi_disclosure.pdf (available on request from the corresponding author) and declare: no support from any company for the submitted work; no financial relationships with any companies that might have an interest in the submitted work in the previous 3 years; no other relationships or activities that could appear to have influenced the submitted work.,True,"We thank B Karshikoff for support with data acquisition and M Ingvar for comments on an earlier draft of the manuscript, both without compensation and working at the Department for Clinical Neuroscience, Karolinska Institutet, Sweden.Contributors: JA designed the data collection, supervised and monitored data collection, wrote the statistical analysis plan, carried out the statistical analyses, obtained funding, drafted and revised the manuscript, and is guarantor. TS designed and carried out the data collection, cleaned the data, drafted, revised the manuscript, and had final approval of the manuscript. JA and TS contributed equally to the work. MI wrote the statistical analysis plan, carried out the statistical analyses, drafted the manuscript, and critically revised the manuscript. EJWVS provided statistical advice, advised on data handling, and critically revised the manuscript. AO provided advice on the methods and critically revised the manuscript. ML provided administrative support, drafted the manuscript, and critically revised the manuscript. All authors approved the final version of the manuscript.Funding: This study was funded by the Swedish Society for Medical Research, Rut and Arvid Wolff’s Memory Fund, and the Osher Center for Integrative Medicine.Competing interests: All authors have completed the Unified Competing Interest form at www.icmje.org/coi_disclosure.pdf (available on request from the corresponding author) and declare: no support from any company for the submitted work; no financial relationships with any companies that might have an interest in the submitted work in the previous 3 years; no other relationships or activities that could appear to have influenced the submitted work.Ethical approval: This study was approved by the Karolinska Institutet’s ethical committee. Participants were compensated for their participation.Participant consent: Participant’s consent obtained.Data sharing: Statistical code and dataset of ratings are available from the corresponding author at john.axelsson@ki.se. Funding: This study was funded by the Swedish Society for Medical Research, Rut and Arvid Wolff’s Memory Fund, and the Osher Center for Integrative Medicine. Competing interests: All authors have completed the Unified Competing Interest form at www.icmje.org/coi_disclosure.pdf (available on request from the corresponding author) and declare: no support from any company for the submitted work; no financial relationships with any companies that might have an interest in the submitted work in the previous 3 years; no other relationships or activities that could appear to have influenced the submitted work."
6,21127102,"Brown M, Tucker P, Rapport F, Hutchings H, Dahlgren A, Davies G, Ebden P.","The impact of shift patterns on junior doctors' perceptions of fatigue, training, work/life balance and the role of social support",0,2010,False,,False,,False,,True,Competing interests: None.,True,"Funding: [ pi ]The study was funded by a grant from the  Wales Office of Research and Development for Health and Social Care, part of the Wales Assembly Government  (reference: ReF06/2/ 220). All researchers involved in this study were independent of the funding organisation. The funding organisation had no involvement in the conduct or reporting of this research."
7,21208425,"Squires JE, Estabrooks CA, Gustavsson P, Wallin L.",Individual determinants of research utilization by nurses: a systematic review update,0,2011,False,,False,,False,,True,Competing interests The authors declare that they have no competing interests.,True,"This project was made possible by the support of the Canadian Institutes of Health Research (CIHR) Knowledge Translation Synthesis Program (KRS 86255). JES holds CIHR Postdoctoral and Bisby Fellowships; at the time of this research she held Killam, CIHR and Alberta Heritage Foundation for Medical Research (AHFMR) doctoral fellowships. CAE holds a CIHR Canada Research Chair in Knowledge Translation. PG holds a grant from AFA Insurance and LW is supported by the Center for Care Sciences at Karolinska Institutet. All authors participated in designing the study, securing funding for the project, and developing the search strategy. JES undertook the article selection; data extraction and quality assessment; and drafted the manuscript. CAE, PG, and LW provided valuable advice throughout the study. All authors provided critical commentary on the manuscript and approved the final version."
8,21383847,"Guterstam A, Petkova VI, Ehrsson HH.",The illusion of owning a third arm,0,2011,False,,False,,False,,True,Competing Interests: The authors have declared that no competing interests exist.,True,"Funding:  This study was funded by the European Research Council (erc.europa.eu), The Swedish Foundation for Strategic Research ( www.stratresearch.se/en ), The Human Frontier Science Program ( www.hfsp.org ), and Stockholm Brain Institute ( www.stockholmbrain.se ). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
9,21448267,"Enblom A, Lekander M, Hammar M, Johnsson A, Onelöv E, Ingvar M, Steineck G, Börjeson S.",Getting the grip on nonspecific treatment effects: emesis in patients randomized to acupuncture or sham compared to patients receiving standard care,0,2011,False,,False,,True,Trial Registration ClinicalTrials.gov NCT00621660,True,Competing Interests: The authors have declared that no competing interests exist.,True,"Funding:  This study was supported by The Swedish Cancer Society, The Vardal Institute, The
County Council of Ostergotland, The University of Linköping, Cancer and
Traffic Injury Fund and The Vardal Foundation for Health Care Sciences and
Allergy Research. Mats Lekander and Martin Ingvar are members of Stockholm Brain
Institute funded by Vinnova and The Swedish Strategic Research Foundation. The
funders had no role in study design, data collection and analysis, decision to
publish, or preparation of the manuscript."
