,PMID,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data,Publication Year,Institution,Journal/Book
0,28119597,True,False,True,False,True,2017,Karolinska,Front Aging Neurosci
1,28119597,True,False,True,False,True,2017,Karolinska,Front Aging Neurosci
2,28119597,True,False,True,False,True,2017,Karolinska,Front Aging Neurosci
3,28119597,True,False,True,False,True,2017,Karolinska,Front Aging Neurosci
4,28119597,True,False,True,False,True,2017,Karolinska,Front Aging Neurosci
5,28115865,True,False,True,False,False,2016,Karolinska,J Pain Res
6,28115865,True,False,True,False,False,2016,Karolinska,J Pain Res
7,28094017,False,False,True,False,False,2017,Karolinska,Cell Stem Cell
8,28094017,False,False,True,False,False,2017,Karolinska,Cell Stem Cell
9,28101525,True,False,True,True,False,2017,Karolinska,eNeuro
10,28101525,True,False,True,True,False,2017,Karolinska,eNeuro
11,28087510,True,False,True,False,False,2017,Karolinska,BMJ
12,28087510,True,False,True,False,False,2017,Karolinska,BMJ
13,28086943,True,True,True,False,False,2017,Karolinska,Trials
14,28086943,True,True,True,False,False,2017,Karolinska,Trials
15,28086826,True,False,True,False,False,2017,Karolinska,BMC Nephrol
16,28086826,True,False,True,False,False,2017,Karolinska,BMC Nephrol
17,28138319,True,False,True,False,False,2017,Karolinska,Front Psychiatry
18,28138319,True,False,True,False,False,2017,Karolinska,Front Psychiatry
21,28095885,True,False,True,False,False,2017,Karolinska,BMC Psychiatry
22,28095885,True,False,True,False,False,2017,Karolinska,BMC Psychiatry
23,28095833,True,False,True,False,False,2017,Karolinska,BMC Med
24,28095833,True,False,True,False,False,2017,Karolinska,BMC Med
25,28095791,True,True,True,False,False,2017,Karolinska,BMC Geriatr
26,28095791,True,True,True,False,False,2017,Karolinska,BMC Geriatr
27,28095434,True,False,True,False,False,2017,Karolinska,PLoS One
28,28095434,True,False,True,False,False,2017,Karolinska,PLoS One
29,28095416,True,False,True,True,True,2017,Karolinska,PLoS Genet
30,28095416,True,False,True,True,True,2017,Karolinska,PLoS Genet
31,28095463,True,False,True,False,True,2017,Karolinska,PLoS One
32,28095463,True,False,True,False,True,2017,Karolinska,PLoS One
33,28095477,True,False,True,False,False,2017,Karolinska,PLoS One
34,28095477,True,False,True,False,False,2017,Karolinska,PLoS One
35,28098217,False,False,True,False,False,2017,Karolinska,Sci Rep
36,28098217,False,False,True,False,False,2017,Karolinska,Sci Rep
37,28098178,False,False,True,False,False,2017,Karolinska,Sci Rep
38,28098178,False,False,True,False,False,2017,Karolinska,Sci Rep
39,28100201,True,False,True,False,False,2017,Karolinska,BMC Public Health
40,28165661,True,False,True,False,False,2017,Karolinska,Aging Cell
41,28099502,True,True,True,False,False,2017,Karolinska,PLoS One
42,28103816,True,True,True,False,False,2017,Karolinska,BMC Fam Pract
43,28103291,True,False,True,True,True,2017,Karolinska,PLoS One
45,28103854,True,False,True,False,False,2017,Karolinska,BMC Med Educ
46,28103871,True,False,True,False,False,2017,Karolinska,BMC Health Serv Res
47,28103922,True,False,True,False,False,2017,Karolinska,Cancer Imaging
48,28103940,True,False,True,False,False,2017,Karolinska,Popul Health Metr
49,28107509,True,False,True,False,False,2017,Karolinska,PLoS One
50,28107422,True,False,True,False,True,2017,Karolinska,PLoS One
51,28109287,True,False,True,False,False,2017,Karolinska,Health Qual Life Outcomes
52,28109284,True,False,True,False,False,2017,Karolinska,Malar J
53,28087550,True,False,True,False,False,2017,Karolinska,BMJ Open
54,28098162,False,False,True,True,True,2017,Karolinska,Nat Commun
55,28114325,True,False,True,False,False,2017,Karolinska,PLoS One
56,28138400,True,False,True,False,False,2016,Karolinska,J Pathol Clin Res
57,28127255,False,False,True,False,False,2017,Karolinska,Demogr Res
58,28122593,True,False,True,False,False,2017,Karolinska,BMC Public Health
59,28120177,True,False,True,False,False,2017,Karolinska,EJNMMI Res
60,28122008,True,False,True,False,False,2017,Karolinska,PLoS One
61,28167848,True,False,True,False,False,2017,Karolinska,Dis Markers
63,28122613,True,True,True,False,False,2017,Karolinska,Syst Rev
64,28124200,True,False,True,False,False,2017,Karolinska,Int J Emerg Med
65,28176931,True,False,True,False,False,2017,Karolinska,Adv Med Educ Pract
66,28125634,True,False,True,False,False,2017,Karolinska,PLoS One
